Brand,Model,AccelSec,TopSpeed_KmH,TopSpeed_Mi_S,Range_Km,Range_mi,Efficiency_WhKm,Efficiency_MPGe,FastCharge_KmH,FastCharge_MiS,RapidCharge,PowerTrain,PlugType,BodyStyle,Segment,Seats,PriceEuro,PriceDollar
Tesla ,Model 3 Long Range Dual Motor,4.6,233,64.72222222,450,279.61695,161,130.0827081,940,261.1111111,Yes,AWD,Type 2 CCS,Sedan,D,5,55480,60473.2
Volkswagen ,ID.3 Pure,10,160,44.44444444,270,167.77017,167,125.4090778,250,69.44444444,Yes,RWD,Type 2 CCS,Hatchback,C,5,30000,32700
Polestar ,2,4.7,210,58.33333333,400,248.5484,181,115.7089282,620,172.2222222,Yes,AWD,Type 2 CCS,Liftback,D,5,56440,61519.6
BMW ,iX3 ,6.8,180,50,360,223.69356,206,101.6665825,560,155.5555556,Yes,RWD,Type 2 CCS,SUV,D,5,68040,74163.6
Honda ,e ,9.5,145,40.27777778,170,105.63307,168,124.6625952,190,52.77777778,Yes,RWD,Type 2 CCS,Hatchback,B,4,32997,35966.73
Lucid ,Air ,2.8,250,69.44444444,610,379.03631,180,116.3517556,620,172.2222222,Yes,AWD,Type 2 CCS,Sedan,F,5,105000,114450
Volkswagen ,e-Golf ,9.6,150,41.66666667,190,118.06049,168,124.6625952,220,61.11111111,Yes,FWD,Type 2 CCS,Hatchback,C,5,31900,34771
Peugeot ,e-208 ,8.1,150,41.66666667,275,170.877025,164,127.7031463,420,116.6666667,Yes,FWD,Type 2 CCS,Hatchback,B,5,29682,32353.38
Tesla ,Model 3 Standard Range Plus,5.6,225,62.5,310,192.62501,153,136.8844183,650,180.5555556,Yes,RWD,Type 2 CCS,Sedan,D,5,46380,50554.2
Audi ,Q4 e-tron ,6.3,180,50,400,248.5484,193,108.5145907,540,150,Yes,AWD,Type 2 CCS,SUV,D,5,55000,59950
Mercedes ,EQC 400 4MATIC,5.1,180,50,370,229.90727,216,96.9597963,440,122.2222222,Yes,AWD,Type 2 CCS,SUV,D,5,69484,75737.56
Nissan ,Leaf ,7.9,144,40,220,136.70162,164,127.7031463,230,63.88888889,Yes,FWD,Type 2 CHAdeMO,Hatchback,C,5,29234,31865.06
Hyundai ,Kona Electric 64 kWh,7.9,167,46.38888889,400,248.5484,160,130.895725,380,105.5555556,Yes,FWD,Type 2 CCS,SUV,B,5,40795,44466.55
BMW ,i4 ,4,200,55.55555556,450,279.61695,178,117.6590787,650,180.5555556,Yes,RWD,Type 2 CCS,Sedan,D,5,65000,70850
Hyundai ,IONIQ Electric,9.7,165,45.83333333,250,155.34275,153,136.8844183,210,58.33333333,Yes,FWD,Type 2 CCS,Liftback,C,5,34459,37560.31
Volkswagen ,ID.3 Pro S,7.9,160,44.44444444,440,273.40324,175,119.6760914,590,163.8888889,Yes,RWD,Type 2 CCS,Hatchback,C,4,40936,44620.24
Porsche ,Taycan Turbo S,2.8,260,72.22222222,375,233.014125,223,93.91621525,780,216.6666667,Yes,AWD,Type 2 CCS,Sedan,F,4,180781,197051.29
Volkswagen ,e-Up! ,11.9,130,36.11111111,195,121.167345,166,126.1645542,170,47.22222222,Yes,FWD,Type 2 CCS,Hatchback,A,4,21421,23348.89
MG ,ZS EV,8.2,140,38.88888889,220,136.70162,193,108.5145907,260,72.22222222,Yes,FWD,Type 2 CCS,SUV,B,5,30000,32700
Mini ,Cooper SE ,7.3,150,41.66666667,185,114.953635,156,134.2520256,260,72.22222222,Yes,FWD,Type 2 CCS,Hatchback,B,4,31681,34532.29
Opel ,Corsa-e ,8.1,150,41.66666667,275,170.877025,164,127.7031463,420,116.6666667,Yes,FWD,Type 2 CCS,Hatchback,B,5,29146,31769.14
Tesla ,Model Y Long Range Dual Motor,5.1,217,60.27777778,425,264.082675,171,122.4755322,930,258.3333333,Yes,AWD,Type 2 CCS,SUV,D,7,58620,63895.8
Skoda ,Enyaq iV 50,10,160,44.44444444,290,180.19759,179,117.0017654,230,63.88888889,Yes,RWD,Type 2 CCS,SUV,C,5,35000,38150
Audi ,e-tron GT ,3.5,240,66.66666667,425,264.082675,197,106.3112487,850,236.1111111,Yes,AWD,Type 2 CCS,Sedan,F,4,125000,136250
Tesla ,Model 3 Long Range Performance,3.4,261,72.5,435,270.296385,167,125.4090778,910,252.7777778,Yes,AWD,Type 2 CCS,Sedan,D,5,61480,67013.2
Volkswagen ,ID.4 ,7.5,160,44.44444444,420,260.97582,183,114.4443497,560,155.5555556,Yes,RWD,Type 2 CCS,SUV,C,5,45000,49050
Volkswagen ,ID.3 Pro,9,160,44.44444444,350,217.47985,166,126.1645542,490,136.1111111,Yes,RWD,Type 2 CCS,Hatchback,C,5,33000,35970
Volvo ,XC40 P8 AWD Recharge,4.9,180,50,375,233.014125,200,104.71658,470,130.5555556,Yes,AWD,Type 2 CCS,SUV,C,5,60437,65876.33
BMW ,i3 120 Ah,7.3,150,41.66666667,235,146.022185,161,130.0827081,270,75,Yes,RWD,Type 2 CCS,Hatchback,B,4,38017,41438.53
Peugeot ,e-2008 SUV ,8.5,150,41.66666667,250,155.34275,180,116.3517556,380,105.5555556,Yes,FWD,Type 2 CCS,SUV,B,5,34361,37453.49
Audi ,e-tron 50 quattro,6.8,190,52.77777778,280,173.98388,231,90.66370563,450,125,Yes,AWD,Type 2 CCS,SUV,E,5,67358,73420.22
Kia ,e-Niro 64 kWh,7.8,167,46.38888889,370,229.90727,173,121.0596301,350,97.22222222,Yes,FWD,Type 2 CCS,SUV,C,5,38105,41534.45
Renault ,Zoe ZE50 R110,11.4,135,37.5,315,195.731865,165,126.9291879,230,63.88888889,Yes,FWD,Type 2 CCS,Hatchback,B,5,31184,33990.56
Tesla ,Cybertruck Tri Motor,3,210,58.33333333,750,466.02825,267,78.43938577,710,197.2222222,Yes,AWD,Type 2 CCS,Pickup,N,6,75000,81750
Mazda ,MX-30 ,9,150,41.66666667,180,111.84678,178,117.6590787,240,66.66666667,Yes,FWD,Type 2 CCS,SUV,C,5,32646,35584.14
Nissan ,Leaf e+,7.3,157,43.61111111,325,201.945575,172,121.7634651,390,108.3333333,Yes,FWD,Type 2 CHAdeMO,Hatchback,C,5,37237,40588.33
Lexus ,UX 300e,7.5,160,44.44444444,270,167.77017,193,108.5145907,190,52.77777778,Yes,FWD,Type 2 CHAdeMO,SUV,C,5,50000,54500
CUPRA ,el-Born ,6.5,160,44.44444444,425,264.082675,181,115.7089282,570,158.3333333,Yes,RWD,Type 2 CCS,Hatchback,C,4,45000,49050
Renault ,Zoe ZE50 R135,9.5,140,38.88888889,310,192.62501,168,124.6625952,230,63.88888889,Yes,FWD,Type 2 CCS,Hatchback,B,5,33133,36114.97
Mercedes ,EQA ,5,200,55.55555556,350,217.47985,171,122.4755322,440,122.2222222,Yes,AWD,Type 2 CCS,SUV,C,5,45000,49050
Tesla ,Model S Long Range,3.8,250,69.44444444,515,320.006065,184,113.8223696,560,155.5555556,Yes,AWD,Type 2,Liftback,F,5,79990,87189.1
Hyundai ,Kona Electric 39 kWh,9.9,155,43.05555556,255,158.449605,154,135.9955584,210,58.33333333,Yes,FWD,Type 2 CCS,SUV,B,5,33971,37028.39
Audi ,e-tron Sportback 55 quattro,5.7,200,55.55555556,380,236.12098,228,91.85664912,610,169.4444444,Yes,AWD,Type 2 CCS,SUV,E,5,81639,88986.51
Skoda ,CITIGOe iV ,12.3,130,36.11111111,195,121.167345,166,126.1645542,170,47.22222222,Yes,FWD,Type 2 CCS,Hatchback,A,4,24534,26742.06
SEAT ,Mii Electric ,12.3,130,36.11111111,195,121.167345,166,126.1645542,170,47.22222222,Yes,FWD,Type 2 CCS,Hatchback,A,4,20129,21940.61
Kia ,e-Soul 64 kWh,7.9,167,46.38888889,365,226.800415,175,119.6760914,340,94.44444444,Yes,FWD,Type 2 CCS,SUV,B,5,36837,40152.33
Opel ,Ampera-e ,7.3,150,41.66666667,335,208.159285,173,121.0596301,210,58.33333333,Yes,FWD,Type 2 CCS,MPV,B,5,41906,45677.54
Porsche ,Taycan 4S,4,250,69.44444444,365,226.800415,195,107.4016205,730,202.7777778,Yes,AWD,Type 2 CCS,Sedan,F,4,102945,112210.05
Lightyear ,One ,10,150,41.66666667,575,357.288325,104,201.3780385,540,150,Yes,AWD,Type 2 CCS,Liftback,F,5,149000,162410
Aiways ,U5 ,9,150,41.66666667,335,208.159285,188,111.400617,350,97.22222222,Yes,FWD,Type 2 CCS,SUV,C,5,36057,39302.13
Audi ,e-tron 55 quattro,5.7,200,55.55555556,365,226.800415,237,88.36842194,590,163.8888889,Yes,AWD,Type 2 CCS,SUV,E,5,79445,86595.05
Tesla ,Roadster ,2.1,410,113.8888889,970,602.72987,206,101.6665825,920,255.5555556,Yes,AWD,Type 2 CCS,Cabrio,S,4,215000,234350
Opel ,Mokka-e ,8.5,150,41.66666667,255,158.449605,176,118.9961136,390,108.3333333,Yes,FWD,Type 2 CCS,SUV,B,5,35000,38150
Skoda ,Enyaq iV 80,8.8,160,44.44444444,420,260.97582,183,114.4443497,560,155.5555556,Yes,RWD,Type 2 CCS,SUV,C,5,40000,43600
Tesla ,Model X Long Range,4.6,250,69.44444444,450,279.61695,211,99.2574218,490,136.1111111,Yes,AWD,Type 2,SUV,F,7,85990,93729.1
Honda ,e Advance,8.3,145,40.27777778,170,105.63307,168,124.6625952,190,52.77777778,Yes,RWD,Type 2 CCS,Hatchback,B,4,35921,39153.89
DS ,3 Crossback E-Tense,8.7,150,41.66666667,250,155.34275,180,116.3517556,380,105.5555556,Yes,FWD,Type 2 CCS,SUV,B,5,37422,40789.98
Renault ,Twingo ZE,12.6,135,37.5,130,80.77823,164,127.7031463,-,#VALUE!,No,RWD,Type 2,Hatchback,A,4,24790,27021.1
Citroen ,e-C4 ,9.7,150,41.66666667,250,155.34275,180,116.3517556,380,105.5555556,Yes,FWD,Type 2 CCS,SUV,C,5,40000,43600
Tesla ,Model S Performance,2.5,261,72.5,505,313.792355,188,111.400617,550,152.7777778,Yes,AWD,Type 2,Liftback,F,5,96990,105719.1
Renault ,Zoe ZE40 R110,11.4,135,37.5,255,158.449605,161,130.0827081,230,63.88888889,Yes,FWD,Type 2 CCS,Hatchback,B,5,29234,31865.06
Tesla ,Model Y Long Range Performance,3.7,241,66.94444444,410,254.76211,177,118.3238192,900,250,Yes,AWD,Type 2 CCS,SUV,D,7,65620,71525.8
Nissan ,Ariya 87kWh,7.6,160,44.44444444,440,273.40324,198,105.7743232,520,144.4444444,Yes,FWD,Type 2 CCS,Hatchback,C,5,50000,54500
Jaguar ,I-Pace ,4.8,200,55.55555556,365,226.800415,232,90.27291379,340,94.44444444,Yes,AWD,Type 2 CCS,SUV,E,5,75351,82132.59
Ford ,Mustang Mach-E ER RWD,7,180,50,450,279.61695,200,104.71658,430,119.4444444,Yes,RWD,Type 2 CCS,SUV,D,5,54475,59377.75
Porsche ,Taycan 4S Plus,4,250,69.44444444,425,264.082675,197,106.3112487,890,247.2222222,Yes,AWD,Type 2 CCS,Sedan,F,4,109302,119139.18
Nissan ,e-NV200 Evalia ,14,123,34.16666667,190,118.06049,200,104.71658,190,52.77777778,Yes,FWD,Type 1 CHAdeMO,SPV,N,7,33246,36238.14
Tesla ,Cybertruck Dual Motor,5,190,52.77777778,460,285.83066,261,80.24259004,710,197.2222222,Yes,AWD,Type 2 CCS,Pickup,N,6,55000,59950
Renault ,Kangoo Maxi ZE 33,22.4,130,36.11111111,160,99.41936,194,107.9552371,-,#VALUE!,No,FWD,Type 2,SPV,N,5,38000,41420
Ford ,Mustang Mach-E ER AWD,6,180,50,430,267.18953,209,100.2072536,410,113.8888889,Yes,AWD,Type 2 CCS,SUV,D,5,62900,68561
BMW ,i3s 120 Ah,6.9,160,44.44444444,230,142.91533,165,126.9291879,260,72.22222222,Yes,RWD,Type 2 CCS,Hatchback,B,4,41526,45263.34
Skoda ,Enyaq iV 80X,7,160,44.44444444,400,248.5484,193,108.5145907,540,150,Yes,AWD,Type 2 CCS,SUV,C,5,45000,49050
Porsche ,Taycan Cross Turismo ,3.5,250,69.44444444,385,239.227835,217,96.51297696,770,213.8888889,Yes,AWD,Type 2 CCS,Station,F,4,150000,163500
Byton ,M-Byte 95 kWh 4WD,5.5,190,52.77777778,390,242.33469,244,85.8332623,460,127.7777778,Yes,AWD,Type 2 CCS,SUV,E,5,64000,69760
Sono ,Sion ,9,140,38.88888889,225,139.808475,156,134.2520256,270,75,Yes,FWD,Type 2 CCS,Hatchback,C,5,25500,27795
Kia ,e-Niro 39 kWh,9.8,155,43.05555556,235,146.022185,167,125.4090778,230,63.88888889,Yes,FWD,Type 2 CCS,SUV,C,5,34400,37496
Audi ,Q4 Sportback e-tron ,6.3,180,50,410,254.76211,188,111.400617,550,152.7777778,Yes,AWD,Type 2 CCS,SUV,D,5,57500,62675
Smart ,EQ forfour ,12.7,130,36.11111111,95,59.030245,176,118.9961136,-,#VALUE!,No,RWD,Type 2,Hatchback,A,4,22030,24012.7
Ford ,Mustang Mach-E SR AWD,6,180,50,340,211.26614,206,101.6665825,360,100,Yes,AWD,Type 2 CCS,SUV,D,5,54000,58860
Porsche ,Taycan Turbo,3.2,260,72.22222222,390,242.33469,215,97.41077209,810,225,Yes,AWD,Type 2 CCS,Sedan,F,4,148301,161648.09
Volkswagen ,ID.3 1st,7.3,160,44.44444444,340,211.26614,171,122.4755322,470,130.5555556,Yes,RWD,Type 2 CCS,Hatchback,C,5,38987,42495.83
Tesla ,Model X Performance,2.8,250,69.44444444,440,273.40324,216,96.9597963,480,133.3333333,Yes,AWD,Type 2,SUV,F,7,102990,112259.1
Smart ,EQ fortwo coupe,11.6,130,36.11111111,100,62.1371,167,125.4090778,-,#VALUE!,No,RWD,Type 2,Hatchback,A,2,21387,23311.83
Ford ,Mustang Mach-E SR RWD,6.6,180,50,360,223.69356,194,107.9552371,380,105.5555556,Yes,RWD,Type 2 CCS,SUV,D,5,46900,51121
Mercedes ,EQV 300 Long,10,140,38.88888889,330,205.05243,273,76.71544322,290,80.55555556,Yes,FWD,Type 2 CCS,SPV,N,7,70631,76987.79
Fiat ,500e Hatchback,9,150,41.66666667,250,155.34275,168,124.6625952,330,91.66666667,Yes,FWD,Type 2 CCS,Hatchback,B,4,34900,38041
Tesla ,Cybertruck Single Motor,7,180,50,390,242.33469,256,81.80982813,740,205.5555556,Yes,RWD,Type 2 CCS,Pickup,N,6,45000,49050
Audi ,e-tron Sportback 50 quattro,6.8,190,52.77777778,295,183.304445,219,95.63157991,470,130.5555556,Yes,AWD,Type 2 CCS,SUV,E,5,69551,75810.59
Skoda ,Enyaq iV vRS,6.2,180,50,400,248.5484,193,108.5145907,540,150,Yes,AWD,Type 2 CCS,SUV,C,5,47500,51775
Skoda ,Enyaq iV 60,9,160,44.44444444,320,198.83872,181,115.7089282,440,122.2222222,Yes,RWD,Type 2 CCS,SUV,C,5,37500,40875
Audi ,e-tron S 55 quattro,4.5,210,58.33333333,320,198.83872,270,77.56783704,510,141.6666667,Yes,AWD,Type 2 CCS,SUV,E,5,93800,102242
Smart ,EQ fortwo cabrio,11.9,130,36.11111111,95,59.030245,176,118.9961136,-,#VALUE!,No,RWD,Type 2,Cabrio,A,2,24565,26775.85
Kia ,e-Soul 64 kWh,7.9,167,46.38888889,365,226.800415,175,119.6760914,320,88.88888889,Yes,FWD,Type 2 CCS,SUV,B,5,36837,40152.33
Nissan ,Ariya e-4ORCE 87kWh,5.7,200,55.55555556,420,260.97582,207,101.1754396,500,138.8888889,Yes,AWD,Type 2 CCS,Hatchback,C,5,57500,62675
Fiat ,500e Convertible,9,150,41.66666667,250,155.34275,168,124.6625952,330,91.66666667,Yes,FWD,Type 2 CCS,Cabrio,B,4,37900,41311
Volkswagen ,ID.3 Pro Performance,7.3,160,44.44444444,340,211.26614,171,122.4755322,470,130.5555556,Yes,RWD,Type 2 CCS,Hatchback,C,5,35575,38776.75
Kia ,e-Soul 39 kWh,9.9,157,43.61111111,230,142.91533,170,123.1959765,220,61.11111111,Yes,FWD,Type 2 CCS,SUV,B,5,33133,36114.97
Byton ,M-Byte 72 kWh 2WD,7.5,190,52.77777778,325,201.945575,222,94.33926126,420,116.6666667,Yes,RWD,Type 2 CCS,SUV,E,5,53500,58315
Nissan ,Ariya 63kWh,7.5,160,44.44444444,330,205.05243,191,109.6508691,440,122.2222222,Yes,FWD,Type 2 CCS,Hatchback,C,5,45000,49050
Audi ,e-tron S Sportback 55 quattro,4.5,210,58.33333333,335,208.159285,258,81.17564341,540,150,Yes,AWD,Type 2 CCS,SUV,E,5,96050,104694.5
Nissan ,Ariya e-4ORCE 63kWh,5.9,200,55.55555556,325,201.945575,194,107.9552371,440,122.2222222,Yes,AWD,Type 2 CCS,Hatchback,C,5,50000,54500
Nissan ,Ariya e-4ORCE 87kWh Performance,5.1,200,55.55555556,375,233.014125,232,90.27291379,450,125,Yes,AWD,Type 2 CCS,Hatchback,C,5,65000,70850
Byton ,M-Byte 95 kWh 2WD,7.5,190,52.77777778,400,248.5484,238,87.99712605,480,133.3333333,Yes,AWD,Type 2 CCS,SUV,E,5,62000,67580
